Age,Gender,Education_Level,Income,Joining Designation,Quarterly Rating,Target_Var,tenure_Months,Total Business Value,Quarterly_Rating_Increase,Income_Increase,City_Encoded
28.0,0.0,2,57387,1,2,1,10,1715580,0,0,0.7698585742141875
31.0,0.0,2,67016,2,1,0,6,0,0,0,0.684190247889322
43.0,0.0,2,65603,2,1,1,9,350000,0,0,0.8160639742891412
29.0,0.0,0,46368,1,1,1,2,120360,0,0,0.7065528646360607
31.0,1.0,1,78728,3,1,0,5,1265000,1,0,0.7028288409112735
34.0,0.0,0,70656,3,1,1,1,0,0,0,0.763421552435784
28.0,1.0,2,42172,1,1,0,5,0,0,0,0.5700438883328994
35.0,0.0,2,28116,1,4,1,5,2607180,0,0,0.7698585742141875
29.0,0.0,2,119227,1,1,1,66,10213040,1,0,0.5700438883328994
39.0,1.0,0,19734,3,1,0,2,0,0,0,0.6989110821540374
30.0,1.0,0,52963,2,1,1,2,346800,0,0,0.7698585742141875
42.0,0.0,2,51099,1,2,1,13,1017640,0,0,0.7302630624839633
27.0,1.0,1,31631,1,1,1,5,0,0,0,0.7740665011127292
26.0,1.0,0,40342,3,1,1,2,0,0,0,0.5700438883328994
33.0,1.0,1,22755,1,4,1,14,6962550,0,0,0.5313237578674669
40.0,0.0,2,31224,1,2,1,23,7539490,1,0,0.7092607604412382
30.0,0.0,2,76308,1,2,1,17,4101720,1,0,0.698531179865061
29.0,0.0,1,102077,1,3,0,38,36351110,1,0,0.698531179865061
41.0,0.0,2,121529,1,4,0,30,69867900,1,1,0.7340256711699624
30.0,0.0,2,30312,1,2,1,12,1273170,0,0,0.8160639742891412
31.0,0.0,1,69457,3,1,1,8,0,0,0,0.7050484531983688
32.0,1.0,2,65189,3,1,0,8,950940,1,0,0.7194295503654974
28.0,1.0,1,65813,2,2,1,3,476010,0,0,0.7340256711699624
32.0,0.0,1,68070,3,1,1,2,300000,0,0,0.6001946113311858
40.0,1.0,1,32865,2,2,1,18,4277730,1,0,0.6379843993734239
33.0,1.0,1,57375,2,1,1,5,650020,0,0,0.7340256711699624
22.0,0.0,0,13427,1,1,1,9,0,0,0,0.6741618832945772
32.0,0.0,0,72888,2,3,0,4,2422230,0,0,0.6989110821540374
30.2,0.0,0,59182,2,1,1,6,0,0,0,0.683166962884123
33.0,0.0,2,92372,4,1,0,21,21755910,1,0,0.5313237578674669
44.0,1.0,0,45988,2,1,1,6,994690,0,0,0.7194295503654974
